L1Bit	TriggerName	Prescale
82:	L1_Mu6_HTT150:	1
51:	L1_Mu8_HTT125:	1
104:	L1_Mu0er_ETM55:	1
84:	L1_Mu14er_ETM30:	1
83:	L1_Mu10er_ETM50:	1
7:	L1_EG25er_HTT125:	1
13:	L1_Mu16er_TauJet20er:	1
12:	L1_IsoEG20er_TauJet20er:	1
92:	L1_Mu12_EG10:	10000
81:	L1_Mu20_EG8:	100000
74:	L1_Mu20_EG10:	1
88:	L1_Mu4_EG18:	100000
87:	L1_Mu5_EG15:	10000
75:	L1_Mu5_EG20:	1
76:	L1_Mu5_IsoEG18:	1
90:	L1_DoubleMu6_EG6:	100000
85:	L1_DoubleMu7_EG7:	1
91:	L1_Mu5_DoubleEG5:	100000
77:	L1_Mu6_DoubleEG10:	1
28:	L1_Mu3_JetC16_WdEtaPhi2:	250
29:	L1_Mu3_JetC52_WdEtaPhi2:	150
113:	L1_DoubleJetC56_ETM60:	1
105:	L1_DoubleJetC60_ETM60:	1
106:	L1_DoubJetC32_WdPhi7_HTT125:	100
4:	L1_DoubleEG6_HTT150:	1
5:	L1_Jet32MuOpen_Mu10_dPhiMu_Mu1:	10
6:	L1_Jet32MuOpen_EG10_dPhiMu_EG1:	150
47:	L1_SingleEG5:	262139
37:	L1_SingleEG10:	20000
30:	L1_SingleEG15:	15000
52:	L1_SingleEG20:	4000
48:	L1_SingleEG25:	1000
53:	L1_SingleEG30:	700
54:	L1_SingleEG35:	500
32:	L1_SingleEG40:	1
31:	L1_SingleEG35er:	200
50:	L1_SingleIsoEG18:	3000
34:	L1_SingleIsoEG25:	2000
10:	L1_SingleIsoEG30:	1
38:	L1_SingleIsoEG20er:	2000
49:	L1_SingleIsoEG22er:	2000
33:	L1_SingleIsoEG25er:	1000
35:	L1_SingleIsoEG28er:	1000
36:	L1_SingleIsoEG30er:	1
101:	L1_DoubleEG_15_10:	1000
102:	L1_DoubleEG_22_10:	1
103:	L1_DoubleEG_20_10_1LegIso:	1
100:	L1_TripleEG_14_10_8:	1
55:	L1_SingleMuOpen:	262139
57:	L1_SingleMu3p5:	262139
58:	L1_SingleMu5:	5000
61:	L1_SingleMu12:	3000
56:	L1_SingleMu16:	1000
62:	L1_SingleMu20:	700
64:	L1_SingleMu25:	1
65:	L1_SingleMu30:	1
42:	L1_SingleMu14er:	1000
86:	L1_SingleMu16er:	1000
122:	L1_SingleMu18er:	700
60:	L1_SingleMu20er:	1
63:	L1_SingleMu25er:	1
27:	L1_SingleMu30er:	1
123:	L1_DoubleMu0er16_WdEta18_OS:	1
114:	L1_DoubleMu0er16_WdEta18:	1000
126:	L1_DoubleMu_10_0_WdEta18:	1
26:	L1_DoubleMu0:	1000
44:	L1_DoubleMu_10_Open:	2000
45:	L1_DoubleMu_10_3p5:	1000
124:	L1_DoubleMu_12_5:	1
97:	L1_TripleMu0:	100
98:	L1_TripleMu_5_5_3:	1
121:	L1_QuadMu0:	1
15:	L1_SingleJet36:	262139
17:	L1_SingleJet52:	50000
18:	L1_SingleJet68:	40000
19:	L1_SingleJet92:	4000
20:	L1_SingleJet128:	1000
21:	L1_SingleJet176:	300
22:	L1_SingleJet200:	1
39:	L1_SingleJet240:	1
8:	L1_DoubleJet32:	262139
40:	L1_DoubleJetC52:	10000
11:	L1_DoubleJetC72:	8000
41:	L1_DoubleJetC84:	700
110:	L1_DoubleJetC100:	1
43:	L1_DoubleJetC112:	1
16:	L1_DoubleJetC120:	1
23:	L1_DoubleIsoTau36er:	1000
24:	L1_DoubleIsoTau40er:	200
25:	L1_DoubleIsoTau44er:	1
119:	L1_TripleJet_92_76_64:	1
120:	L1_TripleJet_92_76_64_VBF:	262139
95:	VBF1:	262139
96:	VBF2:	262139
99:	VBF3:	262139
107:	VBF4:	262139
108:	VBF5:	262139
117:	VBF6:	262139
118:	VBF7:	262139
125:	VBF8:	262139
46:	L1_QuadJetC40:	1000
111:	L1_QuadJetC60:	1
14:	L1_QuadJetC84:	1
93:	L1_QuadJetC36_Tau52:	20
94:	L1_ETT130:	262139
66:	L1_ETM30:	40000
79:	L1_ETM40:	8000
67:	L1_ETM50:	1000
109:	L1_ETM60:	900
68:	L1_ETM70:	1
69:	L1_ETM100:	1
115:	L1_ETM60_NoJet52WdPhi2:	1
116:	L1_ETM70_NoJet52WdPhi2:	1
70:	L1_HTT125:	1000
71:	L1_HTT150:	800
72:	L1_HTT175:	1
73:	L1_HTT200:	1
80:	L1_HTT250:	1
0:	L1_ZeroBias:	25000
